material            t_c       wlog      lambd     mu         
Ta                  4.480     132.00    0.690     0.090      
Sn                  3.750     99.000    0.720     0.090      
Tl0.9Bi0.1          2.300     48.000    0.780     0.100      
Tl                  2.360     52.000    0.800     0.110      
In                  3.400     68.000    0.810     0.100      
In0.5Tl0.5          2.520     53.000    0.830     0.110      
In0.9Tl0.1          3.280     63.000    0.850     0.100      
In0.57Tl0.43        2.600     53.000    0.850     0.120      
In0.07Tl0.93        2.770     49.000    0.890     0.110      
In0.67Tl0.33        3.260     57.000    0.900     0.110      
In0.73Tl0.27        3.360     55.000    0.930     0.110      
beta-Ga             5.900     87.000    0.970     0.090      
In0.17Tl0.83        3.190     45.000    0.980     0.100      
In0.27Tl0.73        3.640     42.000    1.090     0.090      
Pb0.4Tl0.6          4.600     48.000    1.150     0.090      
Pb                  7.200     56.000    1.550     0.105     
Hg                  4.190     29.000    1.600     0.098     
alpha-Ga            8.560     55.000    1.620     0.095     
Pb0.6Tl0.4          5.900     50.000    1.380     0.103     
Pb0.8Tl0.2          6.800     50.000    1.530     0.101     
Pb0.6Tl0.2Bi0.2     7.260     48.000    1.810     0.111     
Pb0.9Bi0.1          7.650     50.000    1.660     0.081     
Pb0.8Bi0.2          7.950     46.000    1.880     0.093     
Pb0.7Bi0.3          8.450     47.000    2.010     0.092     
Pb0.65Bi0.35        8.950     45.000    2.130     0.093     
In2Bi               5.600     46.000    1.400     0.096     
Sb2Tl7              5.200     37.000    1.430     0.102     
Bi2Tl               6.400     47.000    1.630     0.101     
alpha-Pb0.45Bi0.55  7.000     29.000    2.590     0.116     
