Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
LaAlO3_anti	       1.5     0.675    3     3     1.100  1.610  6.070  0.790 
LaCoO3_anti	       1.5     0.685    3     3     1.100  1.880  6.070  1.650 
LaNiO3_anti	       1.5     0.7      3     3     1.100  1.910  6.070  1.230 
BaTbO3_anti	       1.75    0.9      2     4     0.890  1.100  6.400  4.250 
NdAlO3_anti	       1.41    0.675    3     3     1.140  1.610  5.010  0.790 
BaPbO3_anti	       1.75    0.915    2     4     0.890  2.330  6.400  6.580 
Ba(Nd1/2Ta1/2)O3_anti  1.75    0.9515   2     4     0.890  1.320  6.400  4.870 
Ba(Nd1/2Nb1/2)O3_anti  1.75    0.9515   2     4     0.890  1.370  6.400  4.490 
Ba(Gd1/2Ta1/2)O3_anti  1.75    0.929    2     4     0.890  1.350  6.400  4.550 
Ba(Gd1/2Nb1/2)O3_anti  1.75    0.929    2     4     0.890  1.400  6.400  4.170 
Ba(Y1/2Ta1/2)O3_anti   1.75    0.91     2     4     0.890  1.360  6.400  4.270 
Ba(Y1/2Nb1/2)O3_anti   1.75    0.91     2     4     0.890  1.410  6.400  3.890 
CaMnO3_both	       1.48    0.67     2     4     1.000  1.550  3.160  2.640 
CaGeO3_both	       1.48    0.67     2     4     1.000  2.010  3.160  1.630 
CaVO3_both	       1.48    0.72     2     4     1.000  1.630  3.160  2.920 
LaCrO3_both	       1.5     0.755    3     3     1.100  1.660  6.070  1.450 
LaGaO3_both	       1.5     0.76     3     3     1.100  1.810  6.070  1.500 
CaTiO3_both	       1.48    0.745    2     4     1.000  1.540  3.160  2.930 
SmAlO3_both	       1.38    0.675    3     3     1.170  1.610  4.740  0.790 
SrSnO3_both	       1.58    0.83     2     4     0.950  1.960  4.240  2.830 
CdTiO3_both	       1.45    0.745    2     4     1.690  1.540  3.400  2.930 
LaMnO3_both	       1.5     0.72     3     3     1.100  1.550  6.070  2.640 
LaFeO3_both	       1.5     0.69     3     3     1.100  1.830  6.070  2.290 
BaPrO3_both	       1.75    0.99     2     4     0.890  1.130  6.400  5.320 
NdNiO3_both	       1.41    0.7      3     3     1.140  1.910  5.010  1.230 
BaCeO3_both	       1.75    1.01     2     4     0.890  1.120  6.400  3.940 
SmNiO3_both	       1.38    0.7      3     3     1.170  1.910  4.740  1.230 
CaSnO3_both	       1.48    0.83     2     4     1.000  1.960  3.160  2.830 
SrPbO3_both	       1.58    0.915    2     4     0.950  2.330  4.240  6.580 
CaZrO3_both	       1.48    0.86     2     4     1.000  1.330  3.160  3.250 
NaUO3_both	       1.53    0.9      1     5     0.930  1.380  1.800  4.450 
SrCeO3_both	       1.58    1.01     2     4     0.950  1.120  4.240  3.940 
LaVO3_both	       1.5     0.78     3     3     1.100  1.630  6.070  2.920 
CeVO3_both	       1.48    0.78     3     3     1.120  1.630  3.940  2.920 
NdVO3_both	       1.41    0.78     3     3     1.140  1.630  5.010  2.920 
LaTiO3_both	       1.5     0.81     3     3     1.100  1.540  6.070  2.930 
NdTiO3_both	       1.41    0.81     3     3     1.140  1.540  5.010  2.930 
SmTiO3_both	       1.38    0.81     3     3     1.170  1.540  4.740  2.930 
NdFeO3_both	       1.41    0.69     3     3     1.140  1.830  5.010  2.290 
SmFeO3_both	       1.38    0.69     3     3     1.170  1.830  4.740  2.290 
Sr(In1/2Nb1/2)O3_both  1.58    0.86     2     4     0.950  1.690  4.240  3.295 
SrGeO3_none	       1.58    0.67     2     4     0.950  2.010  4.240  1.630 
BaNbO3_none	       1.75    0.82     2     4     0.890  1.600  6.400  3.970 
BaSnO3_none	       1.75    0.83     2     4     0.890  1.960  6.400  2.830 
SrVO3_none	       1.58    0.72     2     4     0.950  1.630  4.240  2.920 
SrFeO3_none	       1.58    0.725    2     4     0.950  1.830  4.240  2.290 
BaZrO3_none	       1.75    0.86     2     4     0.890  1.330  6.400  3.250 
SrTiO3_none	       1.58    0.745    2     4     0.950  1.540  4.240  2.930 
KUO3_none	       1.78    0.9      1     5     0.820  1.380  3.830  4.450 
Ba(In1/2Ta1/2)O3_none  1.75    0.86     2     4     0.890  1.640  6.400  3.675 
Ba(In1/2Nb1/2)O3_none  1.75    0.86     2     4     0.890  1.690  6.400  3.295 
CeAlO3_anti  1.48    0.675   3    3    1.12    3.94    1.61    0.79    
BaThO3_both  1.58    1.08    2    4    0.89    6.4     1.3     4.92    
BaTiO3_none  1.58    0.745   2    4    0.89    6.4     1.54    2.93    
NaTaO3_both  1.53    0.78    1    5    0.93    1.8     1.5     4.73    
CdGeO3_both  1.45    0.67    2    4    1.69    3.4     2.01    1.63    
NaSbO3_both  1.53    0.74    1    5    0.93    1.8     2.05    4.27    
LaErO3_both  1.5     1.03    3    3    1.1     6.07    1.24    3.81    
PbTiO3_none  1.63    0.745   2    4    2.33    6.58    1.54    2.93    
KTaO3_none   1.78    0.78    1    5    0.82    3.83    1.5     4.73
