Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
SmNiO3_both            1.380   0.700   3.000   3.000   1.170   1.910   4.740   1.230   
CaSnO3_both            1.480   0.830   2.000   4.000   1.000   1.960   3.160   2.830   
SrPbO3_both            1.580   0.915   2.000   4.000   0.950   2.330   4.240   6.580   
CaZrO3_both            1.480   0.860   2.000   4.000   1.000   1.330   3.160   3.250   
NaUO3_both             1.530   0.900   1.000   5.000   0.930   1.380   1.800   4.450   
SrCeO3_both            1.580   1.010   2.000   4.000   0.950   1.120   4.240   3.940   
LaVO3_both             1.500   0.780   3.000   3.000   1.100   1.630   6.070   2.920   
CeVO3_both             1.480   0.780   3.000   3.000   1.120   1.630   3.940   2.920   
NdVO3_both             1.410   0.780   3.000   3.000   1.140   1.630   5.010   2.920   
LaTiO3_both            1.500   0.810   3.000   3.000   1.100   1.540   6.070   2.930   
NdTiO3_both            1.410   0.810   3.000   3.000   1.140   1.540   5.010   2.930   
SmTiO3_both            1.380   0.810   3.000   3.000   1.170   1.540   4.740   2.930   
NdFeO3_both            1.410   0.690   3.000   3.000   1.140   1.830   5.010   2.290   
SmFeO3_both            1.380   0.690   3.000   3.000   1.170   1.830   4.740   2.290   
CaMnO3_both            1.480   0.670   2.000   4.000   1.000   1.550   3.160   2.640   
CaGeO3_both            1.480   0.670   2.000   4.000   1.000   2.010   3.160   1.630   
CaVO3_both             1.480   0.720   2.000   4.000   1.000   1.630   3.160   2.920   
LaCrO3_both            1.500   0.755   3.000   3.000   1.100   1.660   6.070   1.450   
LaGaO3_both            1.500   0.760   3.000   3.000   1.100   1.810   6.070   1.500   
CaTiO3_both            1.480   0.745   2.000   4.000   1.000   1.540   3.160   2.930   
SmAlO3_both            1.380   0.675   3.000   3.000   1.170   1.610   4.740   0.790   
SrSnO3_both            1.580   0.830   2.000   4.000   0.950   1.960   4.240   2.830   
CdTiO3_both            1.450   0.745   2.000   4.000   1.690   1.540   3.400   2.930   
LaMnO3_both            1.500   0.720   3.000   3.000   1.100   1.550   6.070   2.640   
LaFeO3_both            1.500   0.690   3.000   3.000   1.100   1.830   6.070   2.290   
BaPrO3_both            1.750   0.990   2.000   4.000   0.890   1.130   6.400   5.320   
NdNiO3_both            1.410   0.700   3.000   3.000   1.140   1.910   5.010   1.230   
BaCeO3_both            1.750   1.010   2.000   4.000   0.890   1.120   6.400   3.940   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
LaAlO3_anti            1.500   0.675   3.000   3.000   1.100   1.610   6.070   0.790   
BaTbO3_anti            1.750   0.900   2.000   4.000   0.890   1.100   6.400   4.250   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
LaNiO3_anti            1.500   0.700   3.000   3.000   1.100   1.910   6.070   1.230   
BaTbO3_anti            1.750   0.900   2.000   4.000   0.890   1.100   6.400   4.250   
BaTbO3_anti            1.750   0.900   2.000   4.000   0.890   1.100   6.400   4.250   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
BaTbO3_anti            1.750   0.900   2.000   4.000   0.890   1.100   6.400   4.250   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
BaTbO3_anti            1.750   0.900   2.000   4.000   0.890   1.100   6.400   4.250   
NdAlO3_anti            1.410   0.675   3.000   3.000   1.140   1.610   5.010   0.790   
