material            Tc        wlog      w1        w2        wph       eta       lambd     mus
Pb                  7.200     56.000    60.000    65.000    110.000   2.400     1.550     0.105
In                  3.400     68.000    79.000    89.000    179.000   1.300     0.805     0.097
Sn                  3.750     99.000    110.000   121.000   209.000   2.200     0.720     0.092
Hg                  4.190     29.000    38.000    49.000    162.000   1.400     1.600     0.098
Tl                  2.360     52.000    58.000    64.000    127.000   1.200     0.795     0.111
Ta                  4.480     132.000   140.000   148.000   228.000   4.900     0.690     0.093
alpha-Ga            8.560     55.000    77.000    101.000   291.000   2.100     1.620     0.095
beta-Ga             5.900     87.000    108.000   129.000   285.000   2.000     0.970     0.092
Tl0.9Bi0.1          2.300     48.000    55.000    62.000    120.000   1.100     0.780     0.099
Pb0.4Tl0.6          4.600     48.000    56.000    62.000    121.000   1.600     1.150     0.094
Pb0.6Tl0.4          5.900     50.000    57.000    62.000    119.000   2.000     1.380     0.103
Pb0.8Tl0.2          6.800     50.000    56.000    61.000    116.000   2.100     1.530     0.101
Pb0.6Tl0.2Bi0.2     7.260     48.000    53.000    58.000    112.000   2.300     1.810     0.111
Pb0.9Bi0.1          7.650     50.000    56.000    60.000    108.000   2.200     1.660     0.081
Pb0.8Bi0.2          7.950     46.000    52.000    57.000    109.000   2.300     1.880     0.093
Pb0.7Bi0.3          8.450     47.000    52.000    57.000    110.000   2.400     2.010     0.092
Pb0.65Bi0.35        8.950     45.000    50.000    55.000    110.000   2.400     2.130     0.093
In0.9Tl0.1          3.280     63.000    75.000    86.000    176.000   1.400     0.850     0.103
In0.73Tl0.27        3.360     55.000    67.000    77.000    166.000   1.400     0.930     0.110
In0.67Tl0.33        3.260     57.000    68.000    79.000    167.000   1.400     0.900     0.110
In0.57Tl0.43        2.600     53.000    64.000    74.000    165.000   1.300     0.850     0.117
In0.5Tl0.5          2.520     53.000    64.000    73.000    163.000   1.300     0.830     0.110
In0.27Tl0.73        3.640     42.000    53.000    63.000    151.000   1.400     1.090     0.094
In0.17Tl0.83        3.190     45.000    55.000    63.000    144.000   1.300     0.980     0.101
In0.07Tl0.93        2.770     49.000    56.000    63.000    131.000   1.300     0.890     0.107
In2Bi               5.600     46.000    57.000    67.000    174.000   1.600     1.400     0.096
Sb2Tl7              5.200     37.000    48.000    58.000    134.000   1.600     1.430     0.102
Bi2Tl               6.400     47.000    53.000    59.000    120.000   2.100     1.630     0.101
alpha-Pb0.45Bi0.55  7.000     29.000    38.000    47.000    128.000   2.100     2.590     0.116
