material              Tc   wlog  lambd    mus
Pb                  7.20   56.0  1.550  0.105
In                  3.40   68.0  0.805  0.097
Sn                  3.75   99.0  0.720  0.092
Hg                  4.19   29.0  1.600  0.098
Tl                  2.36   52.0  0.795  0.111
Ta                  4.48  132.0  0.690  0.093
alpha-Ga            8.56   55.0  1.620  0.095
beta-Ga             5.90   87.0  0.970  0.092
Tl0.9Bi0.1          2.30   48.0  0.780  0.099
Pb0.4Tl0.6          4.60   48.0  1.150  0.094
Pb0.6Tl0.4          5.90   50.0  1.380  0.103
Pb0.8Tl0.2          6.80   50.0  1.530  0.101
Pb0.6Tl0.2Bi0.2     7.26   48.0  1.810  0.111
Pb0.9Bi0.1          7.65   50.0  1.660  0.081
Pb0.8Bi0.2          7.95   46.0  1.880  0.093
Pb0.7Bi0.3          8.45   47.0  2.010  0.092
Pb0.65Bi0.35        8.95   45.0  2.130  0.093
In0.9Tl0.1          3.28   63.0  0.850  0.103
In0.73Tl0.27        3.36   55.0  0.930  0.110
In0.67Tl0.33        3.26   57.0  0.900  0.110
In0.57Tl0.43        2.60   53.0  0.850  0.117
In0.5Tl0.5          2.52   53.0  0.830  0.110
In0.27Tl0.73        3.64   42.0  1.090  0.094
In0.17Tl0.83        3.19   45.0  0.980  0.101
In0.07Tl0.93        2.77   49.0  0.890  0.107
In2Bi               5.60   46.0  1.400  0.096
Sb2Tl7              5.20   37.0  1.430  0.102
Bi2Tl               6.40   47.0  1.630  0.101
alpha-Pb0.45Bi0.55  7.00   29.0  2.590  0.116
